Location,Population,N,Prevalence,Reference,Notes
Modern - SB,Modern,23,75,previous unpublished work ,
Modern - DH,Modern,20,96,previous unpublished work ,
Modern - MB,Modern,279,18,previous unpublished work ,
Modern - SB2,Modern,81,65,this paper,
Archeological,Historical,40,55,this paper,
Recent F,Historical,71,13,this paper,
Fossil,Historical,228,18,this paper,
