population,oyster#,C14,error
Recent F,A11,2503,77
Recent F,A23,2420,81
Recent F,A43,2604,85
Recent F,A65,2511,84
Recent F,A113,2971,85
Recent F,A70,2968,92
Recent F,A6,2350,87
Recent F,A206,2425,80
Recent F,A106,2568,83
Recent F,A112,3305,91
Archeo,A18,2033,90
Archeo,A40,1985,86
Archeo,A33,1761,92
Archeo,A4,1813,83
Archeo,A1,1264,83
Archeo,A3,1826,86
Archeo,A6,1760,86
Archeo,A2,1804,88
Archeo,A70,1944,91
Archeo,A8,1766,88
